producto,fecha,CostesModelo,CostesEmpresa,Coste_Total_XGB,Coste_Total_STCK2,Coste_Total_XGB2
3,2020-01-09,386.0,2686.0,381.0,389.0,501.0
3,2020-01-10,466.0,485.0,414.0,419.0,402.0
3,2020-01-11,420.0,2106.0,371.0,445.0,421.0
3,2020-01-13,375.0,1679.0,377.0,344.0,514.0
3,2020-01-14,784.0,953.0,812.0,825.0,915.0
3,2020-01-15,466.0,767.0,426.0,459.0,519.0
3,2020-01-16,709.0,1106.0,742.0,730.0,638.0
3,2020-01-17,454.0,966.0,450.0,492.0,466.0
3,2020-01-18,152.0,1997.0,292.0,143.0,96.0
3,2020-01-20,348.0,2288.0,354.0,264.0,326.0
3,2020-01-21,331.0,1771.0,325.0,329.0,331.0
3,2020-01-22,266.0,1405.0,261.0,283.0,269.0
3,2020-01-23,336.0,3447.0,399.0,355.0,327.0
3,2020-01-24,486.0,1865.0,429.0,476.0,508.0
3,2020-01-25,133.0,1525.0,269.0,133.0,95.0
3,2020-01-27,461.0,1179.0,470.0,522.0,482.0
3,2020-01-28,321.0,1330.0,338.0,337.0,298.0
3,2020-01-29,358.0,1483.0,363.0,442.0,501.0
4,2019-11-15,1310.0,4970.0,1362.0,1264.0,1392.0
4,2019-11-16,389.0,4368.0,644.0,560.0,546.0
4,2019-11-18,785.0,5983.0,796.0,660.0,1050.0
4,2019-11-19,738.0,5773.0,589.0,936.0,740.0
4,2019-11-20,523.0,5644.0,682.0,523.0,764.0
4,2019-11-21,730.0,5440.0,1063.0,799.0,5029.0
4,2019-11-22,816.0,8690.0,775.0,845.0,1048.0
4,2019-11-23,513.0,6374.0,500.0,443.0,537.0
4,2019-11-25,548.0,6315.0,573.0,559.0,564.0
4,2019-11-26,769.0,4355.0,963.0,705.0,925.0
4,2019-11-27,467.0,5854.0,608.0,547.0,673.0
4,2019-11-28,986.0,4107.0,875.0,946.0,1565.0
4,2019-11-29,1226.0,6618.0,1279.0,1353.0,984.0
4,2019-11-30,415.0,4368.0,519.0,498.0,521.0
4,2019-12-02,709.0,6609.0,703.0,643.0,794.0
4,2019-12-03,755.0,5231.0,699.0,763.0,893.0
4,2019-12-04,1057.0,6779.0,984.0,1117.0,1278.0
4,2019-12-05,1235.0,4692.0,1078.0,1267.0,1218.0
4,2019-12-06,814.0,5123.0,987.0,679.0,832.0
4,2019-12-07,367.0,2365.0,396.0,453.0,407.0
4,2019-12-09,452.0,3411.0,716.0,522.0,556.0
4,2019-12-10,725.0,1680.0,817.0,656.0,892.0
4,2019-12-11,515.0,2951.0,814.0,702.0,485.0
4,2019-12-12,907.0,1935.0,971.0,958.0,1034.0
4,2019-12-13,955.0,2569.0,948.0,903.0,1051.0
4,2019-12-14,449.0,1801.0,370.0,343.0,438.0
4,2019-12-16,753.0,4521.0,724.0,659.0,699.0
4,2019-12-17,899.0,3729.0,709.0,820.0,775.0
4,2019-12-18,615.0,5226.0,605.0,633.0,633.0
4,2019-12-19,1104.0,7113.0,856.0,940.0,1378.0
4,2019-12-20,930.0,5587.0,741.0,806.0,798.0
4,2019-12-21,398.0,3347.0,376.0,393.0,439.0
4,2019-12-23,805.0,3769.0,666.0,706.0,640.0
4,2019-12-24,521.0,2243.0,609.0,544.0,573.0
4,2019-12-26,843.0,4566.0,835.0,848.0,1347.0
4,2019-12-27,833.0,4437.0,659.0,657.0,823.0
4,2019-12-28,327.0,3260.0,481.0,327.0,309.0
4,2019-12-30,637.0,3808.0,800.0,736.0,1877.0
4,2019-12-31,613.0,5851.0,841.0,663.0,840.0
4,2020-01-02,805.0,6484.0,918.0,809.0,927.0
4,2020-01-03,710.0,3665.0,788.0,808.0,815.0
4,2020-01-04,406.0,3157.0,363.0,372.0,401.0
4,2020-01-07,643.0,2575.0,516.0,444.0,594.0
4,2020-01-08,542.0,2763.0,496.0,528.0,464.0
4,2020-01-09,807.0,3354.0,851.0,973.0,1256.0
4,2020-01-10,702.0,2288.0,777.0,740.0,915.0
4,2020-01-11,800.0,3016.0,739.0,798.0,925.0
4,2020-01-13,723.0,3851.0,742.0,736.0,525.0
4,2020-01-14,1264.0,2039.0,1214.0,1236.0,1317.0
4,2020-01-15,785.0,2556.0,534.0,552.0,545.0
4,2020-01-16,1320.0,3461.0,1282.0,1348.0,1142.0
4,2020-01-17,1175.0,2290.0,1008.0,1077.0,1217.0
4,2020-01-18,145.0,3364.0,510.0,339.0,321.0
4,2020-01-20,786.0,5022.0,850.0,713.0,937.0
4,2020-01-21,501.0,3557.0,670.0,451.0,523.0
4,2020-01-22,623.0,2681.0,541.0,529.0,1776.0
4,2020-01-23,864.0,6026.0,1298.0,761.0,1468.0
4,2020-01-24,1087.0,5153.0,1003.0,1212.0,1721.0
4,2020-01-25,227.0,2635.0,249.0,245.0,201.0
4,2020-01-27,628.0,2703.0,573.0,640.0,692.0
4,2020-01-28,757.0,2475.0,693.0,810.0,767.0
4,2020-01-29,478.0,2847.0,506.0,536.0,539.0
5,2019-11-15,258.0,2034.0,265.0,255.0,243.0
5,2019-11-16,192.0,1402.0,213.0,215.0,211.0
5,2019-11-18,245.0,2418.0,239.0,257.0,298.0
5,2019-11-19,246.0,2285.0,242.0,242.0,265.0
5,2019-11-20,289.0,2444.0,299.0,307.0,366.0
5,2019-11-21,238.0,2139.0,260.0,252.0,217.0
5,2019-11-22,260.0,3343.0,256.0,266.0,312.0
5,2019-11-23,191.0,2055.0,215.0,212.0,231.0
5,2019-11-25,246.0,2293.0,233.0,249.0,268.0
5,2019-11-26,235.0,1801.0,229.0,230.0,285.0
5,2019-11-27,251.0,2391.0,249.0,254.0,277.0
5,2019-11-28,224.0,1794.0,230.0,229.0,265.0
5,2019-11-29,264.0,2763.0,256.0,264.0,289.0
5,2019-11-30,182.0,1772.0,194.0,202.0,390.0
5,2019-12-02,378.0,1963.0,384.0,400.0,413.0
5,2019-12-03,305.0,2126.0,318.0,310.0,332.0
5,2019-12-04,313.0,2780.0,308.0,319.0,308.0
5,2019-12-05,225.0,1910.0,237.0,221.0,252.0
5,2019-12-07,229.0,826.0,199.0,212.0,207.0
5,2019-12-09,201.0,1032.0,244.0,283.0,320.0
5,2019-12-10,221.0,1041.0,246.0,239.0,259.0
5,2019-12-11,258.0,1206.0,273.0,267.0,268.0
5,2019-12-12,236.0,555.0,227.0,231.0,254.0
5,2019-12-13,231.0,1113.0,242.0,231.0,244.0
5,2019-12-14,183.0,845.0,203.0,210.0,201.0
5,2019-12-16,228.0,1353.0,221.0,230.0,221.0
5,2019-12-17,236.0,1851.0,251.0,237.0,275.0
5,2019-12-18,241.0,2598.0,261.0,242.0,266.0
5,2019-12-19,315.0,1862.0,306.0,308.0,273.0
5,2019-12-20,301.0,2276.0,296.0,311.0,304.0
5,2019-12-21,193.0,1607.0,206.0,207.0,185.0
5,2019-12-23,208.0,1307.0,214.0,204.0,204.0
5,2019-12-24,231.0,1431.0,237.0,225.0,251.0
5,2019-12-26,250.0,1636.0,267.0,261.0,352.0
5,2019-12-27,235.0,1407.0,232.0,229.0,246.0
