predictions,producto,predictions_XGB,predictions_XG2,predictions_STCK2,predictions_LSTM
0.0,5,1969.0,2444.0,1938.0,1874.0
0.0,5,2076.0,1831.0,1945.0,1909.0
0.0,5,1663.0,1660.0,1621.0,1503.0
0.0,5,1437.0,1275.0,1263.0,1239.0
0.0,5,1713.0,3153.0,1601.0,1544.0
0.0,5,1896.0,2098.0,1887.0,1894.0
0.0,5,2081.0,2052.0,2129.0,2106.0
0.0,5,1750.0,1855.0,1728.0,1706.0
0.0,5,1743.0,2001.0,1717.0,1776.0
0.0,5,2465.0,2777.0,2409.0,2885.0
0.0,5,2185.0,1724.0,2096.0,2246.0
0.0,5,2560.0,2324.0,2704.0,2723.0
0.0,5,1977.0,2229.0,1930.0,1744.0
0.0,5,1920.0,1599.0,1998.0,1896.0
0.0,5,2186.0,2079.0,2350.0,2340.0
0.0,5,2719.0,2755.0,2902.0,2670.0
0.0,5,2197.0,2335.0,2363.0,2151.0
0.0,5,2682.0,3758.0,2941.0,2647.0
0.0,5,1969.0,2444.0,1952.0,1816.0
0.0,5,1911.0,1499.0,1912.0,1679.0
0.0,5,2387.0,2372.0,2377.0,2243.0
0.0,5,2665.0,2425.0,2622.0,2642.0
0.0,5,2288.0,2508.0,2261.0,2096.0
0.0,5,2585.0,2746.0,2399.0,2335.0
0.0,5,1814.0,1610.0,1879.0,1799.0
0.0,5,1724.0,1490.0,1737.0,1797.0
0.0,5,2279.0,2627.0,2120.0,2247.0
0.0,5,2398.0,2545.0,2258.0,2327.0
0.0,9,1198.0,1804.0,1241.0,1428.0
0.0,9,480.0,353.0,376.0,650.0
0.0,9,1763.0,1960.0,1366.0,1922.0
0.0,9,1198.0,1804.0,1113.0,1345.0
0.0,9,743.0,778.0,684.0,951.0
0.0,9,1925.0,2193.0,883.0,2321.0
0.0,9,13921.0,4830.0,17751.0,15451.0
0.0,9,6494.0,3266.0,5029.0,6974.0
0.0,9,8763.0,12131.0,9897.0,9762.0
0.0,9,4291.0,2170.0,0.0,1181.0
0.0,9,2853.0,2310.0,0.0,1214.0
0.0,9,3321.0,3756.0,0.0,541.0
0.0,9,7963.0,2800.0,6372.0,3746.0
0.0,9,773.0,561.0,910.0,981.0
0.0,9,2498.0,1960.0,2724.0,2514.0
